1/1!1:0,5/0!0:0*1
3/4!3:1,5/0!1:0*-1
2/1!3:0,9/4!2:0*-1
3/4!3:0,5/1!2:1*-1
0/0!3:0,7/2!1:0*-1
1/0!3:-1,9/4!1:0*-1
3/1!3:-1,7/2!2:0*1
3/3!1:0,7/1!1:-1*1
0/0!1:0,9/2!1:-1*1
1/2!2:1,9/2!0:0*1
0/0!1:0,8/3!1:-1*1
1/1!1:0,8/3!0:-1*1
0/1!3:1,8/2!1:0*-1
3/2!2:-1,8/2!2:-1*01
1/1!3:-1,9/2!1:-1*1
0/0!1:0,9/2!0:0*1
2/3!2:1,7/1!2:-1*-1
2/3!3:0,7/0!1:-1*-1
3/4!3:0,7/3!2:0*-1
3/2!2:-1,8/2!0:0*1
1/0!3:-1,8/2!1:-1*-1
1/1!3:-1,9/4!1:0*1
2/2!1:0,9/4!0:0*1
1/0!3:0,7/2!3:0*-1
1/2!1:1,8/3!1:0*-1
0/1!3:1,9/3!2:-1*-1
2/2!1:0,8/3!0:0*1
4/2!3:-1,9/4!2:0*1
4/3!3:0,5/0!0:0*1
1/0!3:-1,7/3!2:1*-1
3/4!2:1,7/3!1:0*-1
2/3!3:1,6/2!2:0*-1
3/4!2:1,8/1!0:0*1
3/3!3:0,7/1!0:0*1
0/0!1:0,8/1!1:-1*1
4/4!2:0,8/1!0:0*1
1/1!3:-1,9/4!3:0*-1
4/3!1:-1,8/2!1:-1*1
4/3!2:0,8/2!0:0*1
4/3!2:-1,6/0!2:0*-1
1/0!3:-1,9/4!3:0*-2
3/4!2:1,8/4!2:1*-1
4/4!1:0,8/1!0:-1*1
4/4!3:0,6/0!2:-1*1
2/1!2:0,5/0!2:0*1
3/3!2:0,6/0!0:0*1
3/4!2:1,6/2!0:0*1
1/2!2:1,8/4!3:1*-1
3/3!1:0,8/4!2:0*-1
3/3!3:1,9/4!2:0*1
0/0!2:0,7/3!0:1*1
2/1!2:0,6/1!3:0*0
2/3!3:0,7/3!0:0*1
0/0!2:0,8/2!2:0*1
4/4!2:0,6/1!0:0*1
0/0!1:0,8/2!1:-1*0
2/2!1:0,6/2!2:1*-1
4/4!3:0,6/3!1:1*-1
1/2!3:1,8/2!2:-1*0
3/2!1:-1,6/2!2:0*0
1/2!3:0,8/2!0:0*1
2/1!3:0,6/0!0:0*1
1/2!3:0,6/0!1:0*-2
3/2!2:0,5/0!2:0*-1
1/0!2:-1,8/3!0:0*1
3/4!2:1,7/3!2:1*-1
3/2!2:-1,6/0!2:0*-1
3/2!3:0,8/3!2:0*-1
4/2!3:-1,8/2!2:-1*-1
1/0!3:0,8/2!1:0*-1
2/2!3:-1,6/1!3:0*-2
2/4!3:1,7/2!0:0*1
1/1!3:0,8/3!1:-1*1
4/2!3:-1,5/1!1:0*1
0/1!3:0,8/2!0:-1*1
3/2!3:0,6/0!2:-1*-1
0/1!3:1,8/3!1:0*-1
1/0!3:0,8/4!2:1*-1
3/2!3:0,6/1!2:0*-2
4/3!3:0,7/3!0:0*1
1/2!3:1,6/1!3:0*-2
3/2!3:0,9/4!2:0*-1
1/0!3:-1,6/0!2:-1*-1
4/3!2:-1,8/2!0:0*1
2/2!3:0,6/0!2:-1*-1
4/4!3:0,9/2!1:-1*-2
1/1!3:0,9/3!1:0*-1
4/3!3:-1,5/1!1:0*2
2/1!1:-1,7/2!0:0*1
3/4!3:0,7/1!2:0*1
4/4!3:0,7/0!0:-1*1
4/4!1:0,5/1!1:0*1
1/0!3:0,7/3!1:1*2
2/3!2:1,8/2!2:-1*1
3/2!2:-1,5/1!1:0*1
2/2!1:0,5/1!0:0*1
3/2!3:0,8/4!1:0*-1
3/1!3:-1,5/2!1:1*1
4/3!2:-1,5/2!0:0*1
3/4!3:1,8/2!1:0*01
1/1!3:0,9/2!1:-1*1
4/3!2:-1,9/2!0:0*1
0/1!1:1,6/2!3:1*-1
1/2!3:1,8/2!1:0*-1
1/1!3:1,9/4!1:1*1
2/1!2:0,7/2!2:0*-1
0/0!2:0,9/3!1:0*01
0/0!3:0,9/4!0:0*2
0/0!1:0,6/2!2:0*1
2/2!1:0,6/3!1:1*1
2/2!2:0,6/3!0:0*1
1/1!3:0,6/3!1:0*-1
3/2!3:0,9/3!2:-1*-1
4/2!3:-1,5/2!1:1*-1
0/1!3:1,8/2!0:0*1
0/0!3:0,8/3!1:0*-1
2/2!1:0,8/2!2:-1*01
2/3!3:0,8/2!1:0*-1
1/0!2:-1,8/3!1:-1*1
0/2!2:1,9/3!0:0*1
3/2!2:0,8/3!1:0*1
2/3!2:1,6/3!2:1*0
2/1!2:-1,5/0!1:0*-1
2/1!3:0,8/2!3:-1*-1
1/3!3:1,9/4!2:0*-1
1/2!3:1,8/3!1:-1*1
1/2!1:1,9/2!1:-1*1
1/1!3:0,6/2!2:0*-2
3/3!3:0,5/0!1:0*-1
2/1!2:-1,8/2!1:0*2
